Field,Type,Original term,Description
"address",":ref:`schoolvo-Address`","","Address"
"average_hour","array of :ref:`schoolvo-PlannedRealisedHoursPerYear`","","Average Hour"
"avg_education_hours_per_student_url","string","","Avg Education Hours Per Student Url"
"board","string","","Board"
"board_id","integer","","Board Id"
"branch_id","integer","","Branch Id"
"brin","string","","Brin"
"building_img_url","string","","Building Img Url"
"costs",":ref:`schoolvo-Costs`","","Costs"
"costs_url","string","","Costs Url"
"denomination","string","","Denomination"
"structure","array of structure (String)","","Structure"
"email","string","","Email"
"logo_img_url","string","","Logo Img Url"
"municipality","string","","Municipality"
"municipality_id","integer","","Municipality Id"
"name","string","","Name"
"satisfaction","array of :ref:`schoolvo-Satisfaction`","","Satisfaction"
"parent_satisfaction_url","string","","Parent Satisfaction Url"
"phone","string","","Phone"
"profile","string","","Profile"
"province","string","","Province"
"schoolkompas_status_id","integer","","Schoolkompas Status Id"
"schoolvo_code","string","","Schoolvo Code"
"satisfaction","array of :ref:`schoolvo-Satisfaction`","","Satisfaction"
"student_satisfaction_url","string","","Student Satisfaction Url"
"website","string","","Website"
